Esporte Interativo,Esp_Interativo,Brand,Media
Aeropostale,Aeropostale,Brand,Retail
Domino's Pizza,dominos,Brand,Food/Beverage
The Olympic Games,Olympics,Brand,Sports
London 2012,London2012,Brand,Sports
Taco Bell,tacobell,Brand,Dining
Porsche,Porsche,Brand,Automotive
Rede Globo,RedeGlobo,Brand,Media
Dairy Queen,DairyQueen,Brand,Dining
Guitar Hero,GuitarHero,Game,Product
Dolce & Gabbana,dolcegabbana,Brand,Retail
Tommy Hilfiger,TommyHilfiger,Brand,Retail
New York Times,nytimes,News,U.S.
MAC Cosmetics,MACcosmetics,Brand,Retail
KLM,KLM,Brand,Airline
Fastrack,Fastrack,Brand,Retail
Snoopy,Snoopy,Character,Brand
Audi,Audi,Brand,Automotive
Mango,Mango,Brand,Retail
CNN International,cnni,News,World
Picnik,picnik,Product,Technology
Mountain Dew,MountainDew,Product,Food/Beverage
Dell,Dell,Brand,Technology
Old Navy,OldNavy,Brand,Retail
TIME,TIME,News,U.S.
Clinique,Clinique,Brand,Retail
E! Online,eonline,News,Celebrity Gossip
Bershka,Bershka,Brand,Retail
VEVO,Vevo,Brand,Technology
Bacardi,BACARDI,Brand,Food/Beverage
Ben & Jerry's,benandjerrys,Brand,Food/Beverage
Baskin-Robbins,BaskinRobbins,Brand,Food/Beverage
eBay,eBay,Brand,Retail
Nike Basketball,nikebasketball,Product,Retail
Tiffany & Co.,TiffanyAndCo,Brand,Retail
Stella Artois,StellaArtois,Brand,Food/Beverage
Nestle,Nestle,Brand,Food/Beverage
Wendy's Restaurant ,Wendys,Brand,Dining
Chick-fil-A,ChickfilA,Brand,Dining
ARMANI,armani,Brand,Retail
HUGO BOSS,HUGOBOSS,Brand,Retail
Kingfisher Beer,kingfisherworld,Brand,Food/Beverage
Burger King,theBKlounge,Brand,Dining
FOX Sports,FOXSports,News,Sports
Verizon,VerizonWireless,Brand,Technology
Gatorade,Gatorade,Product,Food/Beverage
Harley-Davidson,harleydavidson,Brand,Automotive
Sony,Sony,Brand,Technology
Sony Electronics,SonyElectronics,Product,Technology
Best Buy,BestBuy,Brand,Retail
Pandora,pandora_radio,Product,Technology
Gap,Gap,Brand,Retail
Adobe Photoshop,Photoshop,Product,Technology
Jaguar,JaguarUKPR,Brand,Automotive
Microsoft,MSFTnews,Brand,Technology
Coca-Cola Zero,CokeZero,Product,
ABC News,ABC,News,U.S.
Aston Martin,astonmartin,Brand,Automotive
GUESS,GUESS,Brand,Retail
GameStop,GameStop,Brand,Retail
Lancome Paris,LancomeUSA,Brand,Retail
I Love Being Black,ilovebeingblack,Brand,Retail
MLB,MLB,Sports Team,MLB
Comedy Central,ComedyCentral,TV Show,Comedy Central
xfinity,XFINITY,Brand,Technology
IMDb,IMDb,News,Entertainment
Resident Evil,RE_Games,Game,Product
Yahoo! News,YahooNews,News,World
Sephora,Sephora,Brand,Retail
Nintendo Wii,NintendoAmerica,Product,Technology
NBC News,msnbc,News,U.S.
VH1,VH1,Brand,Media
VEJA,VEJA,Brand,Media
Capricho,CAPRICHO,Brand,Media
Nautica,nautica,Brand,Retail
Coach,Coach,Brand,Retail
HTC,htc,Brand,Technology
AT&T,ATT,Brand,Technology
American Express,AmericanExpress,Brand,Services
Foot Locker,footlocker,Brand,Retail
Havaianas,havaianas,Brand,Retail
Redbox,redbox,Product,
TMZ,TMZ,News,Celebrity Gossip
People Magazine,people,News,Entertainment
The Economist,TheEconomist,News,World
Duck Tape,theduckbrand,Brand,
Hot Topic,HotTopic,Brand,Retail
adidas Running,adidasrunning,Product,Retail
MSN,MSN,Product,Technology
Expedia,Expedia,Brand,Travel
T-Mobile,TMobile,Brand,Technology
Huffington Post,HuffingtonPost,News,U.S.
Six Flags,SixFlags,Product,Amusement Park
Sonic The Hedgehog,sonic_hedgehog,Game,Product
The Cheesecake Factory,Cheesecake,Brand,Dining
Krispy Kreme Doughnuts,krispykreme,Brand,Food/Beverage
Dippin' Dots,DippinDots,Product,Food/Beverage
JCPenney,jcpenney,Brand,Retail
